Price,Bedrooms,Bathrooms,Square Footage,Lot Size (Acres),Features,Listing Description
361700,5,3,2219,0.2,"['vaulted ceilings', 'custom fireplace', 'hardwood floors', 'sauna', 'professional landscaping', 'swimming pool', 'imported materials']","This captivating 5-bedroom sanctuary is ready to welcome you home. Nestled in a coveted waterfront community, the 2219 square foot floor plan includes 3 well-executed bathrooms. The 0.2-acre setting provides the perfect foundation for your lifestyle. Notable features include hardwood floors, professional landscaping, swimming pool, custom fireplace, sauna. An exceptional value at $361,700.0."
280600,3,1.5,1584,0.2,"['patio or deck', 'decent insulation', 'updated hardware', 'extra insulation', 'garden area']","Your dream lifestyle starts here! This impressive 3-bedroom home is nothing short of spectacular. Perfectly positioned in a exclusive enclave, the 1584 square foot residence is a true standout. 1.5 designer bathrooms and a 0.2-acre lot create an unparalleled living experience. Be captivated by remarkable features including decent insulation, extra insulation, updated hardware, patio or deck. An exceptional opportunity at $280,600.0."
384300,3,1.5,1817,0.2,"['metal roof', 'outdoor living spaces', 'custom front door', 'voice-controlled systems', 'meditation garden', 'central vacuum system', 'heated floors', 'indoor-outdoor living features', 'custom fireplace', 'high-end appliances', 'hot tub']","This remarkable 3-bedroom gem awaits your personal touch. Nestled in a premium exclusive enclave, the 1817 square foot residence includes 1.5 well-appointed bathrooms. The 0.2-acre setting creates a welcoming atmosphere with room to grow. Key attributes include metal roof, custom front door, voice-controlled systems. An outstanding value at $384,300.0."
545400,4,2,1941,0.44,"['marble floors', 'outdoor kitchen', 'high-end finishes', 'statement lighting fixtures', 'imported materials', 'central vacuum system', 'custom lighting', 'gourmet kitchen', 'high-end appliances', 'natural stone exterior', 'custom fireplace']","Your search for perfection ends here! This luxurious 4-bedroom home is a cut above the rest. Nestled in a historic district, the 1941 square foot layout defines modern living. With 2 impeccable bathrooms spread across a 0.4-acre paradise, comfort knows no bounds. Elevate your lifestyle with extraordinary features like high-end finishes, outdoor kitchen, statement lighting fixtures, imported materials, high-end appliances. Priced to sell at $545,400.0."
270000,4,2,1539,0.2,"['garage storage systems', 'updated bathrooms', 'attic storage solutions', 'ceiling fans', 'newer roof', 'decorative light fixtures', 'updated kitchen', 'basic landscaping']","Experience life elevated in this luxurious 4-bedroom home of distinction. Nestled in a coveted suburban retreat, the 1539 square foot residence includes 2 expertly designed bathrooms. The 0.2-acre setting strikes the perfect balance between privacy and community. Appreciable elements include updated bathrooms, attic storage solutions, decorative light fixtures. Available for $270,000.0."
270000,3,1.5,1478,0.2,"['decent insulation', 'programmable thermostat', 'stainless steel appliances', 'modern lighting', 'functional storage', 'upgraded trim package']","This charming 3-bedroom gem awaits your personal touch. Nestled in a premium tree-lined street, the 1478 square foot residence includes 1.5 well-appointed bathrooms. The 0.2-acre setting creates a welcoming atmosphere with room to grow. Key attributes include modern lighting, decent insulation, upgraded trim package, stainless steel appliances, functional storage. An outstanding value at $270,000.0."
557800,6,3,2558,0.5,"['meditation garden', 'walk-in closets', ""butler's pantry"", 'soaker tubs', 'statement lighting fixtures', 'indoor-outdoor living features', 'crown molding']","Find your sanctuary in this serene 6-bedroom home that checks all the right boxes. Located in a premier exclusive enclave, the 2558 square foot interior features 3 meticulously designed bathrooms. The 0.5-acre grounds provide the perfect canvas for outdoor enjoyment. Noteworthy highlights include butler's pantry, soaker tubs, walk-in closets. Yours for $557,800.0."
403100,4,2,1990,0.35,"['custom fireplace', 'home automation', 'designer windows', 'sauna', 'stone countertops', 'outdoor living spaces', 'indoor-outdoor living features', 'vaulted ceilings', 'voice-controlled systems', 'built-in entertainment center', 'hidden storage solutions']","A rare find has arrived! This alluring 4-bedroom residence redefines home living. Commanding a prime location in a vibrant downtown, the 1990 square foot layout is pure inspiration. 2 carefully designed bathrooms and a 0.3-acre lot offer the ultimate in comfort and style. Be transformed by exceptional features such as built-in entertainment center, designer windows, voice-controlled systems, sauna, hidden storage solutions. An unbelievable value at $403,100.0."
245800,3,1.5,1609,0.13,"['garage door opener', 'brick or stone accents', 'solid-surface counters', 'dual-pane windows', 'modern lighting']","Prepare to be amazed by this immaculate 3-bedroom masterpiece. Anchored in a suburban retreat, the 1609 square foot home is a testament to sophisticated living. 1.5 luxurious bathrooms complement the expansive 0.1-acre property. Experience the extraordinary with features like garage door opener, solid-surface counters, modern lighting. Sensationally priced at $245,800.0."
368400,4,2,1639,0.26,"['statement lighting fixtures', 'crown molding', 'designer windows', 'energy-efficient systems', 'smart home features', ""butler's pantry"", 'custom closet systems', 'smart thermostats', 'home automation', 'guest suite', 'swimming pool']","This modern 4-bedroom home represents the perfect blend of style and practicality. Located in a coveted tranquil setting, the 1639 square foot residence features 2 well-appointed bathrooms. The 0.3-acre grounds provide ample space for your lifestyle. Special attributes include swimming pool, smart home features, home automation, energy-efficient systems, custom closet systems. Priced to move at $368,400.0."
246400,4,2.5,1663,0.12,"['custom window treatments', 'updated hardware', 'ceiling fans', 'dual-pane windows', 'fresh exterior paint', 'decent insulation', 'crown molding in main rooms', 'garage door opener']","Life reimagined awaits in this captivating 4-bedroom residence. Set in a desirable mountain view locale, the 1663 square foot home features 2.5 well-positioned bathrooms. The 0.1-acre setting creates a perfect balance of privacy and community. Noteworthy elements include custom window treatments, ceiling fans, updated hardware, decent insulation, garage door opener. An excellent value at $246,400.0."
246200,3,2,1439,0.12,"['walk-in pantry', 'garage door opener', 'stainless steel appliances', 'solid-surface counters', 'custom paint colors', 'upgraded trim package', 'crown molding in main rooms', 'decorative light fixtures']","This charming 3-bedroom home sets a new standard for refined living. Located in a sought-after up-and-coming area, the 1439 square foot residence includes 2 tastefully appointed bathrooms. The 0.1-acre property offers the perfect foundation for your lifestyle vision. Notable features include solid-surface counters, crown molding in main rooms, upgraded trim package. Available now at $246,200.0."
326700,5,2.5,2422,0.2,"['garage storage systems', 'decorative light fixtures', 'linen closet', 'hardwood floors', 'mudroom storage', 'irrigation system', 'modern lighting', 'nice appliances']","Discover your personal oasis in this striking 5-bedroom haven. Strategically located in a quiet cul-de-sac, the 2422 square foot home is a breath of fresh air. 2.5 meticulously crafted bathrooms and a 0.2-acre lot offer the ultimate in privacy and comfort. Distinctive touches like mudroom storage, garage storage systems, hardwood floors set this property apart. Remarkably priced at $326,700.0."
150000,2,1.5,831,0.12,"['simple paint job', 'modest kitchen', 'simple architectural design', 'basic HVAC system']","Discover the ideal balance of form and function with this contemporary 2-bedroom residence. Set in a premier scenic enclave, the 831 square foot home includes 1.5 carefully planned bathrooms. The 0.1-acre property offers room to breathe and room to grow. Stand-out features include simple architectural design, simple paint job, basic HVAC system. An exceptional opportunity at $150,000."
150000,3,1.5,1073,0.14,"['basic insulation', 'stock bathroom vanity', 'basic house numbers', 'builder-grade faucets']","Find your happy place in this alluring 3-bedroom sanctuary. Nestled in a premium peaceful neighborhood, the 1073 square foot home features 1.5 well-designed bathrooms. The 0.1-acre lot provides both privacy and potential. Special touches include basic insulation, stock bathroom vanity, basic house numbers. Offered at $150,000."
236800,3,2,1439,0.12,"['decorative light fixtures', 'updated bathrooms', 'subway tile backsplash', 'pendant lighting', 'decent insulation', 'patio or deck', 'covered porch']","Experience life elevated in this inviting 3-bedroom home of distinction. Nestled in a coveted historic district, the 1439 square foot residence includes 2 expertly designed bathrooms. The 0.1-acre setting strikes the perfect balance between privacy and community. Appreciable elements include pendant lighting, patio or deck, subway tile backsplash, updated bathrooms. Available for $236,800.0."
197800,2,1.5,834,0.12,"['simple kitchen layout', 'small patio', 'simple closet systems']","Life reimagined awaits in this classic 2-bedroom residence. Set in a desirable riverside setting, the 834 square foot home features 1.5 well-positioned bathrooms. The 0.1-acre setting creates a perfect balance of privacy and community. Noteworthy elements include simple closet systems, simple kitchen layout, small patio. An excellent value at $197,800.0."
336300,4,2.5,1654,0.2,"['patio or deck', 'kitchen island', 'ceiling fans', 'irrigation system', 'attic storage solutions', 'dual-pane windows', 'covered porch']","Embrace exceptional living in this exquisite 4-bedroom sanctuary. Nestled in a premier mountain view locale, the 1654 square foot home features 2.5 carefully designed bathrooms. The 0.2-acre setting provides the perfect foundation for your lifestyle vision. Appreciable elements include dual-pane windows, irrigation system, covered porch, attic storage solutions. Make it yours for $336,300.0."
206200,2,1.5,1335,0.13,"['mudroom storage', 'covered porch', 'garage storage systems', 'custom paint colors', 'extra insulation', 'kitchen island']","Your search for perfection ends here! This exquisite 2-bedroom home is simply incomparable. Located in a lakeside community, the 1335 square foot residence is a breath of fresh air. 1.5 elegantly appointed bathrooms complement the 0.1-acre grounds. Experience living at its finest with extraordinary features including custom paint colors, mudroom storage, covered porch. An investment in your future at $206,200.0."
168600,2,1.5,942,0.12,"['basic light switches', 'standard plumbing fixtures', 'carpet in bedrooms', 'vinyl siding', 'ready-made window treatments', 'basic smoke detectors']","Live life on your terms in this distinctive 2-bedroom gem of a home. Located in a mountain view locale, the thoughtful 942 square foot layout includes 1.5 well-executed bathrooms. The 0.1-acre lot creates an atmosphere of space and possibility. Notable features include standard plumbing fixtures, carpet in bedrooms, ready-made window treatments, basic light switches, basic smoke detectors. An exceptional value at $168,600.0."
533000,4,2,2409,0.51,"['swimming pool', 'soaker tubs', 'energy-efficient systems', 'waterfall countertops', 'heated floors', 'specialty rooms', 'guest suite']","Luxury meets functionality in this remarkable 4-bedroom treasure. Nestled in a sought-after community, the 2409 square foot home is a masterpiece of modern design. 2 impeccable bathrooms adorn this 0.5-acre paradise. Discover living at its finest with features like energy-efficient systems, heated floors, guest suite, soaker tubs, specialty rooms. Priced to impress at $533,000.0."
270900,2,1.5,1285,0.2,"['subway tile backsplash', 'stainless steel appliances', 'linen closet', 'crown molding in main rooms', 'hardwood floors', 'double vanity in master', 'ceiling fans']","Enter a world of possibilities with this well-appointed 2-bedroom home in a sought-after desirable subdivision. The thoughtful 1285 square foot floor plan includes 1.5 strategically placed bathrooms. Set on a 0.2-acre lot, this residence balances indoor comfort with outdoor appeal. Distinctive elements like double vanity in master, stainless steel appliances, ceiling fans, linen closet make this property special. Now available for $270,900.0."
